2017,04,10,21,08,19,134,51.439011,-0.083107,-5.61,0.00,0.00,6,24.18,44.60,101367.40,19.17,-79
2017,04,10,21,08,20,135,51.438988,-0.083115,-5.84,0.00,0.00,6,24.18,44.61,101370.12,19.13,-68
2017,04,10,21,08,21,136,51.438976,-0.083115,-5.42,0.00,0.00,6,24.19,44.64,101365.08,19.19,-68
2017,04,10,21,08,22,137,51.438938,-0.083117,-5.60,0.00,0.00,6,24.19,44.65,101367.27,19.23,-70
2017,04,10,21,08,23,138,51.438942,-0.083117,-5.55,0.00,0.00,6,24.20,44.66,101366.69,19.23,-76
2017,04,10,21,08,24,139,51.438950,-0.083117,-5.62,0.00,0.00,6,24.20,44.69,101367.52,19.25,-65
2017,04,10,21,08,25,140,51.438931,-0.083117,-5.58,0.00,0.00,6,24.21,44.71,101366.97,19.33,-53
2017,04,10,21,08,26,141,51.438942,-0.083113,-5.00,0.00,0.00,6,24.21,44.72,101360.00,19.29,-65
2017,04,10,21,08,27,142,51.438957,-0.083105,-5.49,0.00,0.00,6,24.22,44.72,101365.86,19.33,-74
2017,04,10,21,08,28,143,51.438950,-0.083097,-5.27,0.00,0.00,6,24.21,44.67,101362.34,19.29,-75
2017,04,10,21,08,29,144,51.438965,-0.083090,-5.60,0.00,0.00,6,24.22,44.70,101367.22,19.17,-63
2017,04,10,21,08,30,145,51.438976,-0.083097,-5.67,0.00,0.00,6,24.22,44.69,101368.03,19.35,-65
2017,04,10,21,08,31,146,51.438984,-0.083082,-5.51,0.00,0.00,6,24.23,44.68,101366.13,19.29,-66
2017,04,10,21,08,32,147,51.438984,-0.083077,-5.62,0.00,0.00,6,24.23,44.68,101367.50,19.35,-63
2017,04,10,21,08,33,148,51.438984,-0.083077,-5.81,0.00,0.00,6,24.22,44.67,101369.80,19.33,-62
2017,04,10,21,08,34,149,51.438988,-0.083083,-5.31,0.00,0.00,6,24.23,44.67,101363.79,19.35,-62
2017,04,10,21,08,35,150,51.439003,-0.083098,-5.54,0.00,0.00,6,24.23,44.67,101366.52,19.39,-62
2017,04,10,21,08,36,151,51.439007,-0.083103,-5.12,0.00,0.00,6,24.23,44.66,101361.48,19.33,-62
2017,04,10,21,08,37,152,51.439007,-0.083103,-5.46,0.00,0.00,6,24.23,44.64,101368.28,19.41,-63
2017,04,10,21,08,38,153,51.439007,-0.083103,-5.42,0.00,0.00,6,24.24,44.66,101365.02,19.35,-64
2017,04,10,21,08,39,154,51.439007,-0.083103,-5.60,0.00,0.00,6,24.24,44.65,101367.20,19.47,-63
2017,04,10,21,08,40,155,51.439007,-0.083103,-5.18,0.00,0.00,6,24.24,44.65,101362.16,19.45,-64
2017,04,10,21,08,41,156,51.439007,-0.083103,-5.26,0.00,0.00,6,24.24,44.65,101363.11,19.47,-63
2017,04,10,21,08,42,157,51.439007,-0.083103,-5.55,0.00,0.00,6,24.25,44.64,101366.63,19.45,-63
2017,04,10,21,08,43,158,51.439007,-0.083103,-5.50,0.00,0.00,6,24.25,44.64,101366.08,19.41,-72
2017,04,10,21,08,44,159,51.439007,-0.083103,-5.42,0.00,0.00,6,24.25,44.63,101365.13,19.47,-68
2017,04,10,21,08,45,160,51.439007,-0.083103,-5.73,0.00,0.00,6,24.25,44.63,101368.80,19.51,-61
2017,04,10,21,08,46,161,51.439007,-0.083102,-5.61,0.00,0.00,6,24.26,44.64,101368.09,19.47,-62
2017,04,10,21,08,47,162,51.439003,-0.083100,-5.91,0.00,0.00,6,24.26,44.61,101370.98,19.51,-57
2017,04,10,21,08,48,163,51.438995,-0.083095,-5.50,0.00,0.00,6,24.26,44.64,101368.09,19.47,-52
2017,04,10,21,08,49,164,51.439007,-0.083103,-5.27,0.00,0.00,6,24.26,44.60,101363.23,19.51,-39
2017,04,10,21,08,50,165,51.439007,-0.083107,-5.56,0.00,0.00,6,24.26,44.60,101366.73,19.55,-41
2017,04,10,21,08,51,166,51.439007,-0.083102,-4.88,0.00,0.00,6,24.26,44.59,101358.58,19.45,-50
2017,04,10,21,08,52,167,51.438999,-0.083103,-6.21,0.00,0.00,6,24.28,44.58,101374.61,19.51,-44
2017,04,10,21,08,53,168,51.438988,-0.083092,-4.72,0.00,0.00,6,24.27,44.59,101356.67,19.57,-49
2017,04,10,21,08,54,169,51.438984,-0.083073,-4.04,0.00,0.00,6,24.27,44.60,101348.50,19.57,-64
2017,04,10,21,08,55,170,51.438992,-0.083000,-3.63,0.00,0.00,7,24.26,44.61,101343.60,19.61,-66
2017,04,10,21,08,56,171,51.438988,-0.082975,-2.84,0.00,0.00,7,24.26,44.63,101334.08,19.63,-63
2017,04,10,21,08,57,172,51.438988,-0.082945,-3.21,0.00,0.00,7,24.27,44.67,101338.56,19.71,-72
2017,04,10,21,08,58,173,51.438976,-0.082927,-3.41,0.00,0.00,7,24.26,44.70,101340.88,19.61,-67
2017,04,10,21,08,59,174,51.438992,-0.082872,-4.69,0.00,0.00,7,24.27,44.74,101356.26,19.71,-68
2017,04,10,21,09,00,175,51.439030,-0.082807,-3.78,0.00,0.00,7,24.27,44.78,101345.38,19.71,-68
2017,04,10,21,09,01,176,51.439034,-0.082790,-4.23,0.00,0.00,7,24.27,44.82,101350.81,19.67,-74
2017,04,10,21,09,02,177,51.439068,-0.082807,-3.85,0.00,0.00,8,24.27,44.87,101346.19,19.77,-74
2017,04,10,21,09,03,178,51.439178,-0.082862,-2.62,0.00,0.00,8,24.28,44.86,101328.33,19.71,-72
